filename,filepath,classification
New York City-95.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/New York City-95.jpg,Elliott Erwitt Home Around the World
Museo Del Prado.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/Museo Del Prado.jpg,Elliott Erwitt Home Around the World
Las Vegas.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/Las Vegas.jpg,Elliott Erwitt Home Around the World
710fb7c4afee20085a86f8bae5735d5bj.jpg,../../Dataset/images/Old Future/710fb7c4afee20085a86f8bae5735d5bj.jpg,Old Future
9342e1f73d581973e9a1f483881060dcj.jpg,../../Dataset/images/Old Future/9342e1f73d581973e9a1f483881060dcj.jpg,Old Future
30b3697624f452784ca5712bba1ed4e1j.jpg,../../Dataset/images/Old Future/30b3697624f452784ca5712bba1ed4e1j.jpg,Old Future
9e36bc898974710c68642c35f4692af7j.jpg,../../Dataset/images/Old Future/9e36bc898974710c68642c35f4692af7j.jpg,Old Future
96b127ff41c84a1987655d39ea2ca232j.jpg,../../Dataset/images/Old Future/96b127ff41c84a1987655d39ea2ca232j.jpg,Old Future
9f82e23c18133b7b35f1dd4194ed7645j.jpg,../../Dataset/images/Old Future/9f82e23c18133b7b35f1dd4194ed7645j.jpg,Old Future
ccdf6720e6b030bc75e4a9831512e53cj.jpg,../../Dataset/images/Old Future/ccdf6720e6b030bc75e4a9831512e53cj.jpg,Old Future
006b4cbc15ceddb1596e1d61ed234e9ej.jpg,../../Dataset/images/Old Future/006b4cbc15ceddb1596e1d61ed234e9ej.jpg,Old Future
58d86ecc80550ecae33298e356bd25d4j.jpg,../../Dataset/images/Old Future/58d86ecc80550ecae33298e356bd25d4j.jpg,Old Future
b2d6b9043deaa7d9f5b8138b7de88e6ej.jpg,../../Dataset/images/Old Future/b2d6b9043deaa7d9f5b8138b7de88e6ej.jpg,Old Future
f928c4736f04df577ebc2d879a68c082j.jpg,../../Dataset/images/Old Future/f928c4736f04df577ebc2d879a68c082j.jpg,Old Future
786b82b0e3e21d703314c7285bd6cdf4j.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/786b82b0e3e21d703314c7285bd6cdf4j.jpg,Photo L.A.2020 Virtual Collect + Connect
3a29efd766fe9ceb0c9511e233396e14j.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/3a29efd766fe9ceb0c9511e233396e14j.jpg,Photo L.A.2020 Virtual Collect + Connect
48ab27a590c7975bf2de1c48c30bf73aj.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/48ab27a590c7975bf2de1c48c30bf73aj.jpg,Photo L.A.2020 Virtual Collect + Connect
3a6f26e255956e895db7ff13cb840a42j.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/3a6f26e255956e895db7ff13cb840a42j.jpg,Photo L.A.2020 Virtual Collect + Connect
8ffff463cfabd38a6503f8720bb28db1j.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/8ffff463cfabd38a6503f8720bb28db1j.jpg,Photo L.A.2020 Virtual Collect + Connect
4c55672c3d76427e2723eb2d489f8142j.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/4c55672c3d76427e2723eb2d489f8142j.jpg,Photo L.A.2020 Virtual Collect + Connect
a6d7b3d19db60c8ac48e2f5271d30123j.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/a6d7b3d19db60c8ac48e2f5271d30123j.jpg,Photo L.A.2020 Virtual Collect + Connect
a236d8b04b5bdf17e2ec032c62b8d2a2j.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/a236d8b04b5bdf17e2ec032c62b8d2a2j.jpg,Photo L.A.2020 Virtual Collect + Connect
d69c9974cdf2b58dc3f00603bef1dfe2j.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/d69c9974cdf2b58dc3f00603bef1dfe2j.jpg,Photo L.A.2020 Virtual Collect + Connect
57ad360a340197f3eaac49eba5110c6bj.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/57ad360a340197f3eaac49eba5110c6bj.jpg,Photo L.A.2020 Virtual Collect + Connect
0d90e7ced16b6de58e2f78151788cfa4j.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/0d90e7ced16b6de58e2f78151788cfa4j.jpg,Photo L.A.2020 Virtual Collect + Connect
8cf76eec22925be435d64d8152561454j.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/8cf76eec22925be435d64d8152561454j.jpg,Photo L.A.2020 Virtual Collect + Connect
b4efb1dc36266534f225222a669dbb22p.png,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/b4efb1dc36266534f225222a669dbb22p.png,Photo L.A.2020 Virtual Collect + Connect
a0b8160d6147fa2ea3ac260ef046b42ej.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/a0b8160d6147fa2ea3ac260ef046b42ej.jpg,Photo L.A.2020 Virtual Collect + Connect
62fa0e12360126a55868cd318905cdf5j.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/62fa0e12360126a55868cd318905cdf5j.jpg,Photo L.A.2020 Virtual Collect + Connect
2be79792887f63021d254698e14fb1daj.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/2be79792887f63021d254698e14fb1daj.jpg,Photo L.A.2020 Virtual Collect + Connect
fe01727e6c17e0fde756fca3eb19d7cbj.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/fe01727e6c17e0fde756fca3eb19d7cbj.jpg,Photo L.A.2020 Virtual Collect + Connect
05576719003c7f380f4056ee3a413bdbj.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/05576719003c7f380f4056ee3a413bdbj.jpg,Photo L.A.2020 Virtual Collect + Connect
07f8d19d1eb3b2b870615aae0dc83c74j.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/07f8d19d1eb3b2b870615aae0dc83c74j.jpg,Photo L.A.2020 Virtual Collect + Connect
2f7ce8b4cfc46f06596f7e50403e71f0j.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/2f7ce8b4cfc46f06596f7e50403e71f0j.jpg,Photo L.A.2020 Virtual Collect + Connect
11a561b7bb684684a3da287414a12af3j.jpg,../../Dataset/images/Photo L.A.2020 Virtual Collect + Connect/11a561b7bb684684a3da287414a12af3j.jpg,Photo L.A.2020 Virtual Collect + Connect
jacksonfineart-andrea-torres-balaguer-marmalade-2018.jpg,../../Dataset/images/The Unknown/jacksonfineart-andrea-torres-balaguer-marmalade-2018.jpg,The Unknown
jacksonfineart-andrea-torres-balaguer-violet-2018.jpg,../../Dataset/images/The Unknown/jacksonfineart-andrea-torres-balaguer-violet-2018.jpg,The Unknown
jacksonfineart-andrea-torres-balaguer-cinnamon-2020.jpg,../../Dataset/images/The Unknown/jacksonfineart-andrea-torres-balaguer-cinnamon-2020.jpg,The Unknown
jacksonfineart-andrea-torres-balaguer-quartz-2019.jpg,../../Dataset/images/The Unknown/jacksonfineart-andrea-torres-balaguer-quartz-2019.jpg,The Unknown
jacksonfineart-andrea-torres-balaguer-hazel-2018.jpg,../../Dataset/images/The Unknown/jacksonfineart-andrea-torres-balaguer-hazel-2018.jpg,The Unknown
jacksonfineart-andrea-torres-balaguer-v.-2019.jpg,../../Dataset/images/The Unknown/jacksonfineart-andrea-torres-balaguer-v.-2019.jpg,The Unknown
jacksonfineart-andrea-torres-balaguer-cosmos-2017.jpg,../../Dataset/images/The Unknown/jacksonfineart-andrea-torres-balaguer-cosmos-2017.jpg,The Unknown
jacksonfineart-andrea-torres-balaguer-coral-2018.jpg,../../Dataset/images/The Unknown/jacksonfineart-andrea-torres-balaguer-coral-2018.jpg,The Unknown
jacksonfineart-andrea-torres-balaguer-azure-2018.jpg,../../Dataset/images/The Unknown/jacksonfineart-andrea-torres-balaguer-azure-2018.jpg,The Unknown
jacksonfineart-andrea-torres-balaguer-carmine-2018.jpg,../../Dataset/images/The Unknown/jacksonfineart-andrea-torres-balaguer-carmine-2018.jpg,The Unknown
jacksonfineart-andrea-torres-balaguer-bouquet-2019.jpg,../../Dataset/images/The Unknown/jacksonfineart-andrea-torres-balaguer-bouquet-2019.jpg,The Unknown
jacksonfineart-andrea-torres-balaguer-allure-2019.jpg,../../Dataset/images/The Unknown/jacksonfineart-andrea-torres-balaguer-allure-2019.jpg,The Unknown
jacksonfineart-andrea-torres-balaguer-the-unknown-2016.jpg,../../Dataset/images/The Unknown/jacksonfineart-andrea-torres-balaguer-the-unknown-2016.jpg,The Unknown
jacksonfineart-andrea-torres-balaguer-swift-2018.jpg,../../Dataset/images/The Unknown/jacksonfineart-andrea-torres-balaguer-swift-2018.jpg,The Unknown
jacksonfineart-andrea-torres-balaguer-olive-2019.jpg,../../Dataset/images/The Unknown/jacksonfineart-andrea-torres-balaguer-olive-2019.jpg,The Unknown
jacksonfineart-andrea-torres-balaguer-gazelle-2018.jpg,../../Dataset/images/The Unknown/jacksonfineart-andrea-torres-balaguer-gazelle-2018.jpg,The Unknown
jacksonfineart-andrea-torres-balaguer-umbra-2019.jpg,../../Dataset/images/The Unknown/jacksonfineart-andrea-torres-balaguer-umbra-2019.jpg,The Unknown
jacksonfineart-andrea-torres-balaguer-candle-2020.jpg,../../Dataset/images/The Unknown/jacksonfineart-andrea-torres-balaguer-candle-2020.jpg,The Unknown
